"","E1","E2","E3","F1","F2","F3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",240.045058231828,206.405556621743,239.098677890213,272.807302114511,200.481943923719,241.847415378995,233.447659026835,0.0510569058674264,0.154263171074724,0.330972749436706,0.740665069403314,0.994967510486715
"WASH9P",275.649827634636,234.914611403752,267.441682260178,253.685294956951,277.13680483573,309.564691685113,269.732152129393,0.11281442334903,0.138452767287961,0.814822452153612,0.415173947182517,0.9674552830742
"RP4-669L17.4",27.5649827634636,17.1054328692052,24.7092858609947,22.946408589071,25.2708332676957,37.7281967991232,25.8875233582589,0.310140124228091,0.423999217859977,0.731463906451149,0.464495843001882,NA
"RP11-206L10.17",39.05039224824,51.3162986076157,71.9476264776021,44.6180167009714,32.0097221390812,44.499924429735,47.2403301005409,-0.447250177805248,0.33147813105115,-1.34925998402058,0.177253473912846,0.893730941464156
"MTND1P23",17.2281142271647,11.4036219128035,8.72092442152753,22.946408589071,15.1624999606174,21.2825725533515,16.1240236107559,0.68295817610737,0.534718561562983,1.27722922898185,0.201521330644389,NA
"MTND2P28",3567.36818597157,4131.53221900871,3656.24756372542,3806.55422483144,4398.8097107969,3880.19993234059,3906.78530611244,0.0914456372189583,0.0687878341136205,1.32938677888757,0.183720397445171,0.89803518129782
"MTCO1P12",1199.07675021066,1264.66167012991,1190.40618353851,1376.78451534426,1374.73332976265,1259.5413392938,1277.5339647133,0.134956945827752,0.072079055827646,1.87234619374675,0.0611587238321641,0.753733716144559
"MTATP6P1",3213.61757384046,3779.16030190308,3389.53262516703,3763.21100860764,4145.25901701102,3519.36358859513,3635.02401918739,0.139256596254618,0.0707112675598915,1.96936925415273,0.0489107037396258,0.730087106118242
"MTCO3P12",18.3766551756424,13.6843462953642,17.4418488430551,16.5724062032179,16.0048610695406,12.5760655997077,15.776030531088,-0.139632896970286,0.518782090215743,-0.269155199463841,0.787810254100106,NA
"RP11-206L10.2",390.5039224824,435.618357069094,441.860170690728,351.844931699088,356.318749074509,418.879723436419,399.17097574204,-0.170832455346442,0.117914996598953,-1.44877632424881,0.147400057651679,0.874836733085917
"LINC01409",6.89124569086589,25.0879682081677,7.99418071973357,8.92360334019427,21.9013888320029,10.6412862766758,13.5732788446067,0.0938488399103153,0.646906934657935,0.145073170316129,0.884653101151607,NA
"LINC01128",535.220081990584,517.724434841279,481.831074289396,520.118594685609,483.515276521911,555.281665710172,515.615188006492,0.0244774071416006,0.103192225459953,0.237202047271476,0.812500048141017,0.994967510486715
"LINC00115",36.7533103512847,20.5265194430463,36.337185089698,19.1220071575592,43.8027776640059,40.6303657836711,32.8620275815442,0.156076217364219,0.406382814019235,0.384062051789502,0.700932456849815,NA
"NOC2L",8354.48685922641,7526.39046245031,8042.14580405197,8064.38781858128,8124.57289556417,8306.0076337762,8069.66524560839,0.0340811937468865,0.0495775636412107,0.687431798656539,0.491810665004286,0.972959819979918
"KLHL17",917.684217833641,914.570477406841,848.836643695346,924.230345948693,956.079858627821,932.563633701404,915.660862868957,0.0726037544946562,0.0788837129485443,0.920389669563544,0.357369165091982,0.949880508111599
"PLEKHN1",26.4164418149859,54.7373851814568,66.1336768632504,44.6180167009714,62.3347220603161,50.3042623988309,50.7574175033019,0.0845821705668323,0.340214072041697,0.248614556297559,0.803658947675391,0.994967510486715
"PERM1",294.026482810278,286.230910011368,381.540443441829,377.340941242501,438.027776640059,395.662371560035,362.138154284345,0.326080342502755,0.133838829764844,2.4363657622805,0.0148356747952049,0.523597294546089
"RP11-54O7.17",338.819579800906,234.914611403752,290.697480717584,290.654508794899,348.737499094201,325.042926269369,304.811101013452,0.161598763342912,0.144691124148653,1.11685332665526,0.264057043535834,0.942214168006039
